split,quality,file_name,raw_min,raw_max,raw_mean,raw_std,raw_median,raw_p90,raw_p95,raw_p99,raw_p99_5,raw_p99_9,zero_ratio,norm_min,norm_max,norm_mean,norm_std,norm_median,norm_p95,norm_p99,norm_p99_9
Train,HIGH,Train_020_HIGH.bin,0.0,10462.0,115.59883880615234,122.61824798583984,86.0,194.0,316.0,677.0,834.0,1218.0,0.013603564453125,0.0,1.0,0.011049403809010983,0.01172033790498972,0.00822022557258606,0.030204549431800842,0.06471037864685059,0.11642133444547653
Train,LOW,Train_021_LOW.bin,0.0,2054.0,82.24835968017578,39.38456726074219,78.0,130.0,149.0,197.0,225.0,327.0,0.01360380859375,0.0,1.0,0.04004295915365219,0.01917458139359951,0.037974681705236435,0.07254138588905334,0.09591041505336761,0.15920156240463257
Train,HIGH,Train_021_HIGH.bin,0.0,19934.0,133.02862548828125,181.82032775878906,91.0,220.0,371.0,955.0,1262.0,2044.0,0.013603564453125,0.0,1.0,0.006673463620245457,0.009121114388108253,0.004565064795315266,0.018611418083310127,0.04790809750556946,0.10253837704658508
Train,LOW,Train_022_LOW.bin,0.0,8382.0,82.3051528930664,39.88011169433594,78.0,130.0,148.0,190.0,215.0,341.0,0.01360361328125,0.0,1.0,0.00981927290558815,0.0047578285448253155,0.009305655024945736,0.017656883224844933,0.022667620331048965,0.040682416409254074
Train,HIGH,Train_022_HIGH.bin,0.0,39987.0,134.357177734375,205.59173583984375,90.0,216.0,374.0,1004.0,1385.0,2436.0,0.013603564453125,0.0,1.0,0.003360017668455839,0.005141462665051222,0.0022507314570248127,0.009353039786219597,0.025108160451054573,0.06091979891061783
Train,LOW,Train_023_LOW.bin,0.0,2182.0,82.60838317871094,41.777835845947266,77.0,130.0,150.0,210.0,256.0,395.0,0.01360361328125,0.0,1.0,0.03785902261734009,0.01914658583700657,0.035288725048303604,0.06874427199363708,0.09624198079109192,0.18102657794952393
Train,HIGH,Train_023_HIGH.bin,0.0,29566.0,144.97216796875,223.11204528808594,91.0,257.0,443.0,1156.0,1548.0,2547.0,0.01360361328125,0.0,1.0,0.0049033439718186855,0.007546236272901297,0.0030778597574681044,0.01498342677950859,0.039098966866731644,0.08614625036716461
Train,LOW,Train_024_LOW.bin,0.0,1353.0,77.77742767333984,37.258399963378906,73.0,124.0,142.0,187.0,211.0,294.0,0.0136037109375,0.0,1.0,0.05748526006937027,0.027537625283002853,0.05395417660474777,0.10495195537805557,0.13821138441562653,0.21729490160942078
Train,HIGH,Train_024_HIGH.bin,0.0,12929.0,125.4073486328125,201.29098510742188,85.0,177.0,331.0,1006.0,1394.0,2504.0,0.013603564453125,0.0,1.0,0.009699718095362186,0.015568946488201618,0.006574367638677359,0.025601360946893692,0.07780957221984863,0.19367313385009766
Train,LOW,Train_025_LOW.bin,0.0,4521.0,91.20911407470703,43.795658111572266,86.0,143.0,164.0,220.0,258.0,381.0,0.01360361328125,0.0,1.0,0.020174527540802956,0.009687165729701519,0.019022339954972267,0.03627515956759453,0.04866180196404457,0.08427339047193527
Train,HIGH,Train_025_HIGH.bin,0.0,34092.0,139.8754425048828,194.54910278320312,96.0,231.0,394.0,1012.0,1355.0,2201.0,0.01360361328125,0.0,1.0,0.004102885723114014,0.005706582684069872,0.00281590991653502,0.011556963436305523,0.029684383422136307,0.06456059962511063
Train,LOW,Train_026_LOW.bin,0.0,2104.0,83.9180908203125,44.119781494140625,78.0,133.0,154.0,213.0,257.0,441.0,0.013603564453125,0.0,1.0,0.03988498076796532,0.02096947655081749,0.03707224503159523,0.07319391518831253,0.10123573988676071,0.2096007615327835
Train,HIGH,Train_026_HIGH.bin,0.0,21847.0,143.74571228027344,277.1458740234375,89.0,214.0,397.0,1296.0,1897.0,3625.0,0.013603662109375,0.0,1.0,0.00657966174185276,0.012685761786997318,0.004073786083608866,0.018171831965446472,0.05932164564728737,0.16592666506767273
Train,LOW,Train_027_LOW.bin,0.0,3286.0,84.3211898803711,41.75581359863281,79.0,133.0,152.0,207.0,247.0,391.0,0.013603955078125,0.0,1.0,0.025660742074251175,0.0127071812748909,0.02404138818383217,0.04625684767961502,0.06299452483654022,0.11898965388536453
Train,HIGH,Train_027_HIGH.bin,0.0,13354.0,136.27194213867188,208.7957000732422,88.0,228.0,394.0,1081.0,1472.0,2518.0,0.013603564453125,0.0,1.0,0.010204569436609745,0.01563546061515808,0.006589785683900118,0.029504267498850822,0.08094953000545502,0.1885577291250229
Train,LOW,Train_028_LOW.bin,0.0,1483.0,87.30011749267578,47.0562858581543,81.0,139.0,163.0,241.0,296.0,459.0,0.013603515625,0.0,1.0,0.058867234736680984,0.03173045814037323,0.054619014263153076,0.10991234332323074,0.16250842809677124,0.3095077574253082
