split,low_file,high_file,low_raw_min,low_raw_max,low_raw_mean,low_raw_p99,high_raw_min,high_raw_max,high_raw_mean,high_raw_p99,max_ratio_high_over_low,mean_ratio_high_over_low,p99_ratio_high_over_low,low_norm_mean,high_norm_mean,raw_pearson_correlation,norm_pearson_correlation,normalized_mae,normalized_rmse
Train,Train_033_LOW.bin,Train_033_HIGH.bin,0.0,1913.0,83.32230377197266,190.0,0.0,12445.0,124.30462646484375,896.0,6.505488761074201,1.4918529712057471,4.715789473436011,0.04355587065219879,0.009988297708332539,0.19256673013971334,0.19256672992226623,0.03493103012442589,0.040032874792814255
Train,Train_034_LOW.bin,Train_034_HIGH.bin,0.0,4434.0,87.13351440429688,263.0,0.0,30523.0,183.10084533691406,1989.0,6.883852052307434,2.101382534237261,7.562737642297995,0.019651232287287712,0.005998780485242605,0.49497528567926224,0.4949752859022951,0.015319470316171646,0.01884336955845356
Train,Train_035_LOW.bin,Train_035_HIGH.bin,0.0,3164.0,86.12938690185547,205.0,0.0,10871.0,139.5449676513672,1016.0,3.4358407079537425,1.6201783462615038,4.956097560733848,0.027221698313951492,0.01283640880137682,0.33707695117230874,0.3370769510286362,0.018340207636356354,0.02331058867275715
Train,Train_036_LOW.bin,Train_036_HIGH.bin,0.0,1920.0,84.44717407226562,200.0,0.0,30753.0,129.69171142578125,907.0,16.017187499916577,1.5357732551173342,4.53499999977325,0.0439828597009182,0.004217204637825489,0.20691489266875474,0.20691489296887475,0.039932411164045334,0.044808536767959595
Train,Train_037_LOW.bin,Train_037_HIGH.bin,0.0,2569.0,88.74008178710938,226.0,0.0,40327.0,145.33612060546875,1069.0,15.697547683862602,1.637773119679533,4.7300884953659255,0.03454265743494034,0.003603948513045907,0.39254118544751265,0.3925411867119266,0.030968256294727325,0.03484704717993736
Train,Train_038_LOW.bin,Train_038_HIGH.bin,0.0,3250.0,86.16873931884766,215.0,0.0,11713.0,146.9586181640625,1194.0,3.6039999999889107,1.7054748544390455,5.553488371834721,0.026513459160923958,0.012546610087156296,0.3533438078480756,0.3533438076570233,0.01839953474700451,0.023580199107527733
Train,Train_039_LOW.bin,Train_039_HIGH.bin,0.0,7446.0,83.97978973388672,198.0,0.0,37816.0,118.82432556152344,782.0,5.07869997313312,1.4149157306049724,3.94949494929548,0.011278516612946987,0.003142166417092085,0.23867953198785277,0.238679531720521,0.008582564070820808,0.010092307813465595
Train,Train_040_LOW.bin,Train_040_HIGH.bin,0.0,23600.0,86.863525390625,202.0,0.0,42826.0,129.44863891601562,965.0,1.8146610169483837,1.4902531104854768,4.77722772253578,0.003680660156533122,0.003022664226591587,0.3300681123325689,0.33006811268092745,0.002427183324471116,0.004388908389955759
Train,Train_041_LOW.bin,Train_041_HIGH.bin,0.0,876.0,83.70101165771484,206.0,0.0,8224.0,116.66638946533203,654.0,9.388127853774108,1.3938468262305677,3.1747572813992835,0.09554900974035263,0.014186076819896698,0.14835958196934823,0.14835958164703214,0.08183471858501434,0.0933464989066124
Train,Train_042_LOW.bin,Train_042_HIGH.bin,0.0,1303.0,81.7093734741211,194.0,0.0,12988.0,121.99653625488281,823.0,9.967766692172159,1.4930543590398584,4.2422680410184395,0.06270859390497208,0.009393010288476944,0.24674926366952227,0.24674926349707385,0.05375666543841362,0.06078733503818512
Train,Train_043_LOW.bin,Train_043_HIGH.bin,0.0,1324.0,83.46383666992188,208.0,0.0,8779.0,147.28079223632812,1211.0,6.630664652517896,1.7646060628765479,5.822115384335475,0.06303921341896057,0.016776500269770622,0.326651620525056,0.3266516202323307,0.04932893440127373,0.05750114843249321
Train,Train_044_LOW.bin,Train_044_HIGH.bin,0.0,1652.0,82.27445983886719,192.0,0.0,15770.0,126.53733825683594,926.0,9.546004842557227,1.5379905074949964,4.822916666415473,0.04980293661355972,0.008023916743695736,0.26272748641417315,0.26272748622054676,0.04230952262878418,0.04780836030840874
Train,Train_045_LOW.bin,Train_045_HIGH.bin,0.0,982.0,88.15739440917969,207.0,0.0,27579.0,132.18675231933594,942.0,28.084521384642724,1.4994403270450691,4.550724637461317,0.08977331221103668,0.004793032072484493,0.23531155917530747,0.23531155880995167,0.08499499410390854,0.09421928226947784
Train,Train_046_LOW.bin,Train_046_HIGH.bin,0.0,2461.0,83.66504669189453,201.0,0.0,17484.0,134.0081787109375,966.0,7.104429093835415,1.6017223917703616,4.8059701490146285,0.0339963436126709,0.007664620876312256,0.3149740214000537,0.31497402142599895,0.02710878849029541,0.031059907749295235
Train,Train_047_LOW.bin,Train_047_HIGH.bin,0.0,6338.0,84.83148956298828,237.0,0.0,35553.0,177.8156280517578,1857.0,5.60949826442788,2.0961040404550104,7.835443037644074,0.013384589925408363,0.005001421552151442,0.5260895406238917,0.5260895409825599,0.010105468332767487,0.012454140931367874
Train,Train_048_LOW.bin,Train_048_HIGH.bin,0.0,1495.0,84.0075912475586,223.0,0.0,14242.0,150.2484588623047,1262.0,9.526421404618553,1.7885104978389208,5.659192824858332,0.05619242042303085,0.010549674741923809,0.4841118736079683,0.4841118724948704,0.04634595289826393,0.052854038774967194
Train,Train_049_LOW.bin,Train_049_HIGH.bin,0.0,2507.0,89.54429626464844,242.0,0.0,23660.0,154.58676147460938,1490.0,9.437574790548714,1.726371951156599,6.157024793134007,0.03571772575378418,0.006533684674650431,0.4765731270054806,0.47657312615141106,0.029810022562742233,0.034049246460199356
Train,Train_050_LOW.bin,Train_050_HIGH.bin,0.0,1105.0,85.65062713623047,210.0,0.0,9991.0,157.3370819091797,1395.0,9.041628959194194,1.836963571096329,6.642857142540816,0.07751192152500153,0.015747888013720512,0.3906668710729243,0.39066687123501914,0.06359495222568512,0.07233087718486786
Train,Train_051_LOW.bin,Train_051_HIGH.bin,0.0,2652.0,82.91499328613281,197.0,0.0,15394.0,137.54598999023438,1067.0,5.804675716418535,1.6588795888698407,5.416243654547398,0.031265128403902054,0.008935045450925827,0.2996406787436841,0.29964067854786963,0.02407948672771454,0.0281524695456028
Train,Train_052_LOW.bin,Train_052_HIGH.bin,0.0,2026.0,88.92406463623047,278.0,0.0,21213.0,187.84181213378906,1982.0,10.470384995012486,2.11238445837003,7.129496402621241,0.04389147460460663,0.008855038322508335,0.3402459153401915,0.3402459154905989,0.03680792450904846,0.043885380029678345
Train,Train_053_LOW.bin,Train_053_HIGH.bin,0.0,1599.0,86.6890640258789,225.0,0.0,15938.0,142.61038208007812,1198.0,9.967479674734413,1.6450792688343536,5.324444444207803,0.05421460419893265,0.00894781295210123,0.4221332621499783,0.422133262174704,0.04582398012280464,0.0523231104016304
Train,Train_054_LOW.bin,Train_054_HIGH.bin,0.0,3581.0,80.36231231689453,201.0,0.0,24943.0,134.13563537597656,1101.0,6.965372800874154,1.66913608496412,5.477611940025989,0.022441333159804344,0.005377694498747587,0.4459058089575985,0.4459058081653191,0.017780255526304245,0.020568273961544037
